"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"18/03/2025 00:00:00 - 18/03/2025 00:15:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:00:00 - 18/03/2025 00:15:00","BZN|DE-LU","Sequence 2","111.9","",""
"18/03/2025 00:15:00 - 18/03/2025 00:30:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:15:00 - 18/03/2025 00:30:00","BZN|DE-LU","Sequence 2","108.4","",""
"18/03/2025 00:30:00 - 18/03/2025 00:45:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:30:00 - 18/03/2025 00:45:00","BZN|DE-LU","Sequence 2","87.7","",""
"18/03/2025 00:45:00 - 18/03/2025 01:00:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:45:00 - 18/03/2025 01:00:00","BZN|DE-LU","Sequence 2","79.8","",""
"18/03/2025 01:00:00 - 18/03/2025 01:15:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:00:00 - 18/03/2025 01:15:00","BZN|DE-LU","Sequence 2","107.41","",""
"18/03/2025 01:15:00 - 18/03/2025 01:30:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:15:00 - 18/03/2025 01:30:00","BZN|DE-LU","Sequence 2","90.0","",""
"18/03/2025 01:30:00 - 18/03/2025 01:45:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:30:00 - 18/03/2025 01:45:00","BZN|DE-LU","Sequence 2","97.6","",""
"18/03/2025 01:45:00 - 18/03/2025 02:00:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:45:00 - 18/03/2025 02:00:00","BZN|DE-LU","Sequence 2","93.0","",""
"18/03/2025 02:00:00 - 18/03/2025 02:15:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:00:00 - 18/03/2025 02:15:00","BZN|DE-LU","Sequence 2","102.8","",""
"18/03/2025 02:15:00 - 18/03/2025 02:30:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:15:00 - 18/03/2025 02:30:00","BZN|DE-LU","Sequence 2","96.7","",""
"18/03/2025 02:30:00 - 18/03/2025 02:45:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:30:00 - 18/03/2025 02:45:00","BZN|DE-LU","Sequence 2","94.6","",""
"18/03/2025 02:45:00 - 18/03/2025 03:00:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:45:00 - 18/03/2025 03:00:00","BZN|DE-LU","Sequence 2","83.39","",""
"18/03/2025 03:00:00 - 18/03/2025 03:15:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:00:00 - 18/03/2025 03:15:00","BZN|DE-LU","Sequence 2","97.3","",""
"18/03/2025 03:15:00 - 18/03/2025 03:30:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:15:00 - 18/03/2025 03:30:00","BZN|DE-LU","Sequence 2","96.0","",""
"18/03/2025 03:30:00 - 18/03/2025 03:45:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:30:00 - 18/03/2025 03:45:00","BZN|DE-LU","Sequence 2","97.1","",""
"18/03/2025 03:45:00 - 18/03/2025 04:00:00","BZN|DE-LU","Sequence 1","89.2","",""
