"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence 1","2.16","",""
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence 2","22.4","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence 1","2.16","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence 2","-7.4","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence 1","2.16","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence 2","-10.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence 1","2.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence 2","-5.3","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","Sequence 1","1.6","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","Sequence 2","5.54","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","Sequence 1","1.6","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","Sequence 2","4.0","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","Sequence 1","1.6","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","Sequence 2","-3.0","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","Sequence 1","1.6","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","Sequence 2","-8.6","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","Sequence 2","4.6","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","Sequence 2","-0.5","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","Sequence 2","-6.51","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","Sequence 2","-3.5","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","Sequence 2","-1.05","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","Sequence 2","3.7","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","Sequence 2","-5.45","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","Sequence 2","-7.6","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","Sequence 2","-10.9","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","Sequence 2","-0.2","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","Sequence 2","-8.2","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","Sequence 2","-6.7","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","Sequence 1","-0.06","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","Sequence 2","-1.3","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","Sequence 1","-0.06","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","Sequence 2","-5.0","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","Sequence 1","-0.06","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","Sequence 2","-3.5","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","Sequence 1","-0.06","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","Sequence 2","-11.7","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","Sequence 1","-0.09","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","Sequence 2","5.0","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","Sequence 1","-0.09","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","Sequence 2","-4.57","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","Sequence 1","-0.09","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","Sequence 2","-7.5","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","Sequence 1","-0.09","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","Sequence 2","-15.0","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","Sequence 2","-17.54","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","Sequence 2","-5.06","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DE-LU","Sequence 2","11.5","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DE-LU","Sequence 2","-0.4","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DE-LU","Sequence 2","11.5","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DE-LU","Sequence 2","-9.19","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DE-LU","Sequence 2","-19.9","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DE-LU","Sequence 2","-22.4","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DE-LU","Sequence 1","-0.04","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DE-LU","Sequence 2","30.6","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DE-LU","Sequence 1","-0.04","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DE-LU","Sequence 2","-14.9","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DE-LU","Sequence 1","-0.04","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DE-LU","Sequence 2","-29.91","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DE-LU","Sequence 1","-0.04","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DE-LU","Sequence 2","-18.74","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DE-LU","Sequence 1","-0.03","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DE-LU","Sequence 2","23.0","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DE-LU","Sequence 1","-0.03","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DE-LU","Sequence 2","1.52","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DE-LU","Sequence 1","-0.03","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DE-LU","Sequence 2","-32.4","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DE-LU","Sequence 1","-0.03","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DE-LU","Sequence 2","-34.91","",""
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|DE-LU","Sequence 2","19.91","",""
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|DE-LU","Sequence 2","-9.32","",""
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|DE-LU","Sequence 2","-29.91","",""
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|DE-LU","Sequence 2","-3.9","",""
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|DE-LU","Sequence 1","-0.05","",""
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|DE-LU","Sequence 2","12.42","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|DE-LU","Sequence 1","-0.05","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|DE-LU","Sequence 2","9.0","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|DE-LU","Sequence 1","-0.05","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|DE-LU","Sequence 2","-24.9","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|DE-LU","Sequence 1","-0.05","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|DE-LU","Sequence 2","-16.85","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|DE-LU","Sequence 2","6.9","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|DE-LU","Sequence 2","-29.92","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|DE-LU","Sequence 2","-10.68","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|DE-LU","Sequence 1","-0.1","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|DE-LU","Sequence 2","15.5","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|DE-LU","Sequence 1","-1.01","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|DE-LU","Sequence 2","-11.11","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|DE-LU","Sequence 1","-1.01","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|DE-LU","Sequence 2","-24.92","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|DE-LU","Sequence 1","-1.01","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|DE-LU","Sequence 2","-9.91","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|DE-LU","Sequence 1","-1.01","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|DE-LU","Sequence 2","27.9","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|DE-LU","Sequence 2","-27.49","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|DE-LU","Sequence 2","-14.99","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|DE-LU","Sequence 2","-0.92","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|DE-LU","Sequence 2","39.0","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|DE-LU","Sequence 2","-14.66","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|DE-LU","Sequence 2","5.0","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|DE-LU","Sequence 2","-2.44","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|DE-LU","Sequence 1","-0.01","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|DE-LU","Sequence 2","10.09","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|DE-LU","Sequence 2","7.5","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|DE-LU","Sequence 2","-4.91","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|DE-LU","Sequence 2","12.42","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|DE-LU","Sequence 2","1.0","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|DE-LU","Sequence 1","1.01","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|DE-LU","Sequence 2","0.08","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|DE-LU","Sequence 1","1.01","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|DE-LU","Sequence 2","20.01","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|DE-LU","Sequence 1","1.01","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|DE-LU","Sequence 2","17.35","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|DE-LU","Sequence 1","1.01","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|DE-LU","Sequence 2","-2.8","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|DE-LU","Sequence 1","1.48","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|DE-LU","Sequence 2","-2.1","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|DE-LU","Sequence 1","1.48","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|DE-LU","Sequence 2","20.02","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|DE-LU","Sequence 1","1.48","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|DE-LU","Sequence 2","12.52","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|DE-LU","Sequence 1","1.48","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|DE-LU","Sequence 2","2.53","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|DE-LU","Sequence 1","1.0","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|DE-LU","Sequence 2","-4.96","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|DE-LU","Sequence 1","1.0","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|DE-LU","Sequence 2","31.6","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|DE-LU","Sequence 1","1.0","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|DE-LU","Sequence 2","10.0","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|DE-LU","Sequence 1","1.0","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|DE-LU","Sequence 2","-2.41","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|DE-LU","Sequence 2","5.08","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|DE-LU","Sequence 2","2.59","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|DE-LU","Sequence 2","0.09","",""
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|DE-LU","Sequence 1","0.07","",""
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|DE-LU","Sequence 2","6.66","",""
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|DE-LU","Sequence 1","10.05","",""
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|DE-LU","Sequence 2","38.3","",""
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|DE-LU","Sequence 1","10.05","",""
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|DE-LU","Sequence 2","8.66","",""
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|DE-LU","Sequence 1","10.05","",""
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|DE-LU","Sequence 2","-9.9","",""
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|DE-LU","Sequence 1","10.05","",""
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|DE-LU","Sequence 2","-22.41","",""
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|DE-LU","Sequence 1","7.01","",""
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|DE-LU","Sequence 2","42.41","",""
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|DE-LU","Sequence 1","7.01","",""
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|DE-LU","Sequence 2","6.65","",""
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|DE-LU","Sequence 1","7.01","",""
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|DE-LU","Sequence 2","-17.4","",""
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|DE-LU","Sequence 1","7.01","",""
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|DE-LU","Sequence 2","-27.41","",""
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|DE-LU","Sequence 1","2.55","",""
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|DE-LU","Sequence 2","41.3","",""
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|DE-LU","Sequence 1","2.55","",""
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|DE-LU","Sequence 2","30.8","",""
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|DE-LU","Sequence 1","2.55","",""
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|DE-LU","Sequence 2","-5.19","",""
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|DE-LU","Sequence 1","2.55","",""
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|DE-LU","Sequence 2","-29.91","",""
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|DE-LU","Sequence 1","1.56","",""
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|DE-LU","Sequence 2","34.92","",""
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|DE-LU","Sequence 1","1.56","",""
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|DE-LU","Sequence 2","29.6","",""
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|DE-LU","Sequence 1","1.56","",""
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|DE-LU","Sequence 2","1.0","",""
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|DE-LU","Sequence 1","1.56","",""
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|DE-LU","Sequence 2","-29.91","",""
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|DE-LU","Sequence 1","3.45","",""
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|DE-LU","Sequence 2","0.68","",""
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|DE-LU","Sequence 1","3.45","",""
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|DE-LU","Sequence 2","27.4","",""
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|DE-LU","Sequence 1","3.45","",""
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|DE-LU","Sequence 2","29.9","",""
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|DE-LU","Sequence 1","3.45","",""
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|DE-LU","Sequence 2","32.41","",""
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|DE-LU","Sequence 1","7.02","",""
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|DE-LU","Sequence 2","24.91","",""
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|DE-LU","Sequence 1","7.02","",""
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|DE-LU","Sequence 2","29.91","",""
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|DE-LU","Sequence 1","7.02","",""
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|DE-LU","Sequence 2","34.91","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|DE-LU","Sequence 1","7.02","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|DE-LU","Sequence 2","13.07","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|DE-LU","Sequence 1","12.75","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|DE-LU","Sequence 2","-18.91","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|DE-LU","Sequence 1","12.75","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|DE-LU","Sequence 2","32.41","",""
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|DE-LU","Sequence 1","12.75","",""
